Ticker;Maturity;AdjstdQt;Data_Referencia
DI1M25;02/06/2025;93252.96;15/10/2024
DI1N25;01/07/2025;92342.37;15/10/2024
DI1Q25;01/08/2025;91309.55;15/10/2024
DI1U25;01/09/2025;90376.66;15/10/2024
DI1V25;01/10/2025;89394.95;15/10/2024
DI1F26;02/01/2026;86615.21;15/10/2024
DI1J26;01/04/2026;84050.81;15/10/2024
DI1N26;01/07/2026;81594.1;15/10/2024
DI1V26;01/10/2026;79096.71;15/10/2024
DI1F27;04/01/2027;76835.48;15/10/2024
DI1J27;01/04/2027;74665.65;15/10/2024
DI1N27;01/07/2027;72450.3;15/10/2024
DI1V27;01/10/2027;70235.56;15/10/2024
DI1F28;03/01/2028;68186.93;15/10/2024
DI1J28;03/04/2028;66169.82;15/10/2024
DI1N28;03/07/2028;64268.73;15/10/2024
DI1V28;02/10/2028;62338.65;15/10/2024
DI1F29;02/01/2029;60621.92;15/10/2024
DI1J29;02/04/2029;58898.69;15/10/2024
DI1N29;02/07/2029;57168.71;15/10/2024
DI1V29;01/10/2029;55463.94;15/10/2024
DI1F30;02/01/2030;53850.4;15/10/2024
DI1F31;02/01/2031;47883.16;15/10/2024
DI1F32;02/01/2032;42596.14;15/10/2024
DI1F33;03/01/2033;37918.5;15/10/2024
DI1F34;02/01/2034;33864.82;15/10/2024
DI1F35;02/01/2035;30198.48;15/10/2024
DI1F36;02/01/2036;26928.11;15/10/2024
DI1F37;02/01/2037;23923.84;15/10/2024
DI1F38;04/01/2038;21294.54;15/10/2024
DI1F39;03/01/2039;18936.49;15/10/2024
DI1X24;01/11/2024;99519.12;16/10/2024
DI1Z24;02/12/2024;98734.26;16/10/2024
DI1F25;02/01/2025;97839.75;16/10/2024
DI1G25;03/02/2025;96889.26;16/10/2024
DI1H25;05/03/2025;95998.41;16/10/2024
DI1J25;01/04/2025;95143.5;16/10/2024
DI1K25;02/05/2025;94236.32;16/10/2024
DI1M25;02/06/2025;93285.33;16/10/2024
DI1N25;01/07/2025;92370.77;16/10/2024
DI1Q25;01/08/2025;91333.68;16/10/2024
DI1U25;01/09/2025;90397.55;16/10/2024
DI1V25;01/10/2025;89412.31;16/10/2024
DI1F26;02/01/2026;86625.4;16/10/2024
DI1J26;01/04/2026;84038.88;16/10/2024
DI1N26;01/07/2026;81562.04;16/10/2024
DI1V26;01/10/2026;79040.15;16/10/2024
DI1F27;04/01/2027;76759.93;16/10/2024
DI1J27;01/04/2027;74578.83;16/10/2024
DI1N27;01/07/2027;72345.29;16/10/2024
DI1V27;01/10/2027;70102.51;16/10/2024
DI1F28;03/01/2028;68047.83;16/10/2024
DI1J28;03/04/2028;66003.69;16/10/2024
DI1N28;03/07/2028;64079.28;16/10/2024
DI1V28;02/10/2028;62135.86;16/10/2024
DI1F29;02/01/2029;60408.76;16/10/2024
DI1J29;02/04/2029;58673.37;16/10/2024
DI1N29;02/07/2029;56943.18;16/10/2024
DI1V29;01/10/2029;55217.36;16/10/2024
DI1F30;02/01/2030;53598.05;16/10/2024
DI1F31;02/01/2031;47605.65;16/10/2024
DI1F32;02/01/2032;42279.08;16/10/2024
DI1F33;03/01/2033;37586.21;16/10/2024
DI1F34;02/01/2034;33529.82;16/10/2024
DI1F35;02/01/2035;29874.31;16/10/2024
DI1F36;02/01/2036;26609.75;16/10/2024
DI1F37;02/01/2037;23614.66;16/10/2024
DI1F38;04/01/2038;20996.29;16/10/2024
DI1F39;03/01/2039;18650.63;16/10/2024
DI1X24;01/11/2024;99559.14;17/10/2024
DI1Z24;02/12/2024;98773.57;17/10/2024
DI1F25;02/01/2025;97877.64;17/10/2024
DI1G25;03/02/2025;96923.59;17/10/2024
DI1H25;05/03/2025;96030.6;17/10/2024
DI1J25;01/04/2025;95175.21;17/10/2024
DI1K25;02/05/2025;94265.16;17/10/2024
DI1M25;02/06/2025;93312.27;17/10/2024
DI1N25;01/07/2025;92394.25;17/10/2024
DI1Q25;01/08/2025;91353.57;17/10/2024
DI1U25;01/09/2025;90411.71;17/10/2024
DI1V25;01/10/2025;89421.59;17/10/2024
DI1F26;02/01/2026;86620.09;17/10/2024
DI1J26;01/04/2026;84032.63;17/10/2024
DI1N26;01/07/2026;81554.74;17/10/2024
DI1V26;01/10/2026;79027.63;17/10/2024
DI1F27;04/01/2027;76737.03;17/10/2024
DI1J27;01/04/2027;74542.29;17/10/2024
DI1N27;01/07/2027;72288.95;17/10/2024
DI1V27;01/10/2027;70034.01;17/10/2024
DI1F28;03/01/2028;67953.67;17/10/2024
DI1J28;03/04/2028;65902.76;17/10/2024
DI1N28;03/07/2028;63957.68;17/10/2024
DI1V28;02/10/2028;62005.62;17/10/2024
DI1F29;02/01/2029;60272.68;17/10/2024
DI1J29;02/04/2029;58531.9;17/10/2024
DI1N29;02/07/2029;56787.17;17/10/2024
DI1V29;01/10/2029;55051.63;17/10/2024
DI1F30;02/01/2030;53435.37;17/10/2024
DI1F31;02/01/2031;47413.14;17/10/2024
DI1F32;02/01/2032;42061.04;17/10/2024
DI1F33;03/01/2033;37351.95;17/10/2024
DI1F34;02/01/2034;33282.46;17/10/2024
DI1F35;02/01/2035;29612.76;17/10/2024
DI1F36;02/01/2036;26352.91;17/10/2024
DI1F37;02/01/2037;23365.28;17/10/2024
DI1F38;04/01/2038;20755.81;17/10/2024
DI1F39;03/01/2039;18420.23;17/10/2024
DI1X24;01/11/2024;99599.07;18/10/2024
DI1Z24;02/12/2024;98813.18;18/10/2024
DI1F25;02/01/2025;97917.95;18/10/2024
DI1G25;03/02/2025;96965.08;18/10/2024
DI1H25;05/03/2025;96071.49;18/10/2024
DI1J25;01/04/2025;95214.61;18/10/2024
DI1K25;02/05/2025;94301.65;18/10/2024
DI1M25;02/06/2025;93345.96;18/10/2024
DI1N25;01/07/2025;92428.64;18/10/2024
DI1Q25;01/08/2025;91382.51;18/10/2024
DI1U25;01/09/2025;90435.79;18/10/2024
DI1V25;01/10/2025;89444.66;18/10/2024
DI1F26;02/01/2026;86634.45;18/10/2024
DI1J26;01/04/2026;84025.59;18/10/2024
DI1N26;01/07/2026;81527.01;18/10/2024
DI1V26;01/10/2026;78974.6;18/10/2024
DI1F27;04/01/2027;76666.86;18/10/2024
DI1J27;01/04/2027;74464.45;18/10/2024
DI1N27;01/07/2027;72198.76;18/10/2024
DI1V27;01/10/2027;69936.85;18/10/2024
DI1F28;03/01/2028;67860.03;18/10/2024
DI1J28;03/04/2028;65788.38;18/10/2024
DI1N28;03/07/2028;63847.13;18/10/2024
DI1V28;02/10/2028;61893.3;18/10/2024
DI1F29;02/01/2029;60170.6;18/10/2024
DI1J29;02/04/2029;58416.26;18/10/2024
DI1N29;02/07/2029;56669.4;18/10/2024
DI1V29;01/10/2029;54939.37;18/10/2024
DI1F30;02/01/2030;53329.54;18/10/2024
DI1F31;02/01/2031;47309.41;18/10/2024
DI1F32;02/01/2032;41958.72;18/10/2024
DI1F33;03/01/2033;37253.91;18/10/2024
DI1F34;02/01/2034;33174.3;18/10/2024
DI1F35;02/01/2035;29531.17;18/10/2024
DI1F36;02/01/2036;26271.98;18/10/2024
DI1F37;02/01/2037;23286.06;18/10/2024
DI1F38;04/01/2038;20678.91;18/10/2024
DI1F39;03/01/2039;18346.15;18/10/2024
DI1X24;01/11/2024;99639.15;21/10/2024
DI1Z24;02/12/2024;98852.88;21/10/2024
DI1F25;02/01/2025;97957.28;21/10/2024
DI1G25;03/02/2025;97005.37;21/10/2024
DI1H25;05/03/2025;96114.59;21/10/2024
DI1J25;01/04/2025;95262.64;21/10/2024
DI1K25;02/05/2025;94359.11;21/10/2024
DI1M25;02/06/2025;93405.23;21/10/2024
DI1N25;01/07/2025;92491.65;21/10/2024
DI1Q25;01/08/2025;91451.7;21/10/2024
DI1U25;01/09/2025;90509.48;21/10/2024
DI1V25;01/10/2025;89518.76;21/10/2024
DI1F26;02/01/2026;86714.21;21/10/2024
DI1J26;01/04/2026;84114.07;21/10/2024
DI1N26;01/07/2026;81634.24;21/10/2024
DI1V26;01/10/2026;79100.87;21/10/2024
DI1F27;04/01/2027;76812.17;21/10/2024
DI1J27;01/04/2027;74623.5;21/10/2024
DI1N27;01/07/2027;72365.33;21/10/2024
DI1V27;01/10/2027;70112.38;21/10/2024
