Ticker;Maturity;AdjstdQt;Data_Referencia
DI1G21;01/02/2021;99932.38;19/01/2021
DI1H21;01/03/2021;99796.44;19/01/2021
DI1J21;01/04/2021;99619.49;19/01/2021
DI1K21;03/05/2021;99458.21;19/01/2021
DI1M21;01/06/2021;99248.82;19/01/2021
DI1N21;01/07/2021;99026.72;19/01/2021
DI1Q21;02/08/2021;98746.8;19/01/2021
DI1U21;01/09/2021;98433.7;19/01/2021
DI1V21;01/10/2021;98119.28;19/01/2021
DI1X21;01/11/2021;97790.72;19/01/2021
DI1Z21;01/12/2021;97437.9;19/01/2021
DI1F22;03/01/2022;97008.87;19/01/2021
DI1J22;01/04/2022;95684.07;19/01/2021
DI1N22;01/07/2022;94191.23;19/01/2021
DI1V22;03/10/2022;92539.18;19/01/2021
DI1F23;02/01/2023;90939.97;19/01/2021
DI1J23;03/04/2023;89291.69;19/01/2021
DI1N23;03/07/2023;87639.63;19/01/2021
DI1V23;02/10/2023;85947.83;19/01/2021
DI1F24;02/01/2024;84366.58;19/01/2021
DI1J24;01/04/2024;82759.82;19/01/2021
DI1N24;01/07/2024;81153.82;19/01/2021
DI1V24;01/10/2024;79551.41;19/01/2021
DI1F25;02/01/2025;78033.64;19/01/2021
DI1J25;01/04/2025;76529.41;19/01/2021
DI1N25;01/07/2025;75198.54;19/01/2021
DI1V25;01/10/2025;73591.33;19/01/2021
DI1F26;02/01/2026;72146.5;19/01/2021
DI1N26;01/07/2026;69347.86;19/01/2021
DI1F27;04/01/2027;66459.13;19/01/2021
DI1F28;03/01/2028;61201.53;19/01/2021
DI1F29;02/01/2029;56252.27;19/01/2021
DI1F30;02/01/2030;51705.22;19/01/2021
DI1F31;02/01/2031;47468.03;19/01/2021
DI1F33;03/01/2033;39977.77;19/01/2021
DI1F35;02/01/2035;33712.86;19/01/2021
DI1F36;02/01/2036;31197.14;19/01/2021
DI1G21;01/02/2021;99939.95;20/01/2021
DI1H21;01/03/2021;99804.38;20/01/2021
DI1J21;01/04/2021;99625.95;20/01/2021
DI1K21;03/05/2021;99464.59;20/01/2021
DI1M21;01/06/2021;99260.51;20/01/2021
DI1N21;01/07/2021;99041.77;20/01/2021
DI1Q21;02/08/2021;98763.73;20/01/2021
DI1U21;01/09/2021;98452.52;20/01/2021
DI1V21;01/10/2021;98139.81;20/01/2021
DI1X21;01/11/2021;97807.72;20/01/2021
DI1Z21;01/12/2021;97451.18;20/01/2021
DI1F22;03/01/2022;97016.69;20/01/2021
DI1J22;01/04/2022;95703.56;20/01/2021
DI1N22;01/07/2022;94206.72;20/01/2021
DI1V22;03/10/2022;92555.91;20/01/2021
DI1F23;02/01/2023;91016.55;20/01/2021
DI1J23;03/04/2023;89341.6;20/01/2021
DI1N23;03/07/2023;87709.04;20/01/2021
DI1V23;02/10/2023;86021.68;20/01/2021
DI1F24;02/01/2024;84444.38;20/01/2021
DI1J24;01/04/2024;82846.26;20/01/2021
DI1N24;01/07/2024;81251.96;20/01/2021
DI1V24;01/10/2024;79626.15;20/01/2021
DI1F25;02/01/2025;78082.0;20/01/2021
DI1J25;01/04/2025;76563.83;20/01/2021
DI1N25;01/07/2025;75217.75;20/01/2021
DI1V25;01/10/2025;73594.26;20/01/2021
DI1F26;02/01/2026;72131.99;20/01/2021
DI1N26;01/07/2026;69296.04;20/01/2021
DI1F27;04/01/2027;66366.85;20/01/2021
DI1F28;03/01/2028;61060.8;20/01/2021
DI1F29;02/01/2029;56061.67;20/01/2021
DI1F30;02/01/2030;51485.55;20/01/2021
DI1F31;02/01/2031;47220.89;20/01/2021
DI1F33;03/01/2033;39726.07;20/01/2021
DI1F35;02/01/2035;33464.2;20/01/2021
DI1F36;02/01/2036;30950.0;20/01/2021
DI1G21;01/02/2021;99947.51;21/01/2021
DI1H21;01/03/2021;99812.48;21/01/2021
DI1J21;01/04/2021;99632.82;21/01/2021
DI1K21;03/05/2021;99467.07;21/01/2021
DI1M21;01/06/2021;99251.54;21/01/2021
DI1N21;01/07/2021;99018.65;21/01/2021
DI1Q21;02/08/2021;98728.02;21/01/2021
DI1U21;01/09/2021;98402.63;21/01/2021
DI1V21;01/10/2021;98074.05;21/01/2021
DI1X21;01/11/2021;97729.13;21/01/2021
DI1Z21;01/12/2021;97359.67;21/01/2021
DI1F22;03/01/2022;96909.31;21/01/2021
DI1J22;01/04/2022;95553.03;21/01/2021
DI1N22;01/07/2022;94021.29;21/01/2021
DI1V22;03/10/2022;92363.19;21/01/2021
DI1F23;02/01/2023;90756.97;21/01/2021
DI1J23;03/04/2023;89059.33;21/01/2021
DI1N23;03/07/2023;87405.06;21/01/2021
DI1V23;02/10/2023;85692.05;21/01/2021
DI1F24;02/01/2024;84091.21;21/01/2021
